Name,Description,Statement Descriptor,Price,Currency,Interval,Lookup Key,Product ID,Tier,Env Var
Worker,"Find work and connect with employers. Create and manage your worker profile, search for jobs near you, reveal employer contact details, and access PDF and video education guides.",AGA,10.00,gbp,year,aga_worker_yearly,aga_worker,basic,STRIPE_PRICE_ID_BASIC
Worker,"Find work and connect with employers. Create and manage your worker profile, search for jobs near you, reveal employer contact details, and access PDF and video education guides.",AGA,1.00,gbp,month,aga_worker_monthly,aga_worker,basic,STRIPE_PRICE_ID_BASIC_MONTHLY
Employer,"Full access for hiring and managing your team. Everything in Worker, plus post and manage job listings, search for workers, and access every part of the app from one account.",AGA,100.00,gbp,year,aga_employer_yearly,aga_employer,advanced,STRIPE_PRICE_ID_ADVANCED
Employer,"Full access for hiring and managing your team. Everything in Worker, plus post and manage job listings, search for workers, and access every part of the app from one account.",AGA,10.00,gbp,month,aga_employer_monthly,aga_employer,advanced,STRIPE_PRICE_ID_ADVANCED_MONTHLY
